#NAME,1-MS515F,2-MS515F,3-MS515F,38-MS515F,4-MS515F,40-MS515F,41-MS515F,42-MS515F,44-MS515F,46-MS515F,47-MS515F,48-MS515F,5-MS515F,50-MS515F,52-MS515F,53-MS515F,54-MS515F,56-MS515F,58-MS515F,59-MS515F,60-MS515F,62-MS515F,64-MS515F,65-MS515F,66-MS515F
#CLASS,CN,CN,CN,FOS,CN,T1,T2,T3,FOS,T1,T2,T3,CN,FOS,T1,T2,T3,FOS,T1,T2,T3,FOS,T1,T2,T3
Bacteria ; Actinobacteria ; Actinobacteria ; Unclassified ; Unclassified ; Unclassified ; Unclassified,0.14408490054461595,0.5352771145954333,0.0,0.4026531239158623,0.0035113897581530457,0.2070310946401633,0.17180647347282124,0.15700098690126624,0.686450963133313,1.0524616941162175,0.3268826679202234,0.2982892918515979,0.008430864734799641,0.0,0.0,0.0,0.0,0.0,0.0,0.00567754892990217,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Atopobiaceae ; Atopobium ; Atopobium rimae,0.0,0.0018464985736101544,0.0,0.0,0.012500547539072253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007503469613971681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Atopobiaceae ; Olsenella ; Olsenella sp,0.0491441672755052,0.0033170633058865052,0.009170246293844019,0.013844360837727061,0.04116946794300975,0.060182147271491654,0.07474410919745729,0.158534876152493,0.005189122666916141,0.045787164011464127,0.009416590854449784,0.0,0.10334119827609826,0.10526673530657053,0.010444542451662226,0.01368165825250944,0.091927042523455,0.020388394695620125,0.0,0.03630911531230077,0.039181810735689056,0.08859009603904905,0.9510040454672528,0.0512460177574718,0.008540977650035081
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Coriobacteriaceae ; Collinsella ; Collinsella aerofaciens,0.9181666202304807,0.7123791496979534,0.20368034043246636,8.746327247190983,0.8037852067622558,4.792932956325154,1.7487654996601536,5.855459228211106,4.873665521742347,2.1410077891735626,1.081928622814753,7.887094283027835,0.14706800443352744,2.835329439268444,0.7918843195999083,0.0913934771266685,3.1252575930044255,2.2472088633479332,0.18294202240403692,0.31328714995265666,1.2576342519026737,0.21452091755867736,1.4760701613950964,0.12266588450492555,0.05990641723729694
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Coriobacteriaceae ; Collinsella ; Collinsella sp,0.0,0.0,0.03909058442669513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4977477291076746,0.06460142923807108,0.06861372156663893,0.13411359957512678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Coriobacteriaceae ; Senegalimassilia ; Senegalimassilia anaerobia,0.368315672835078,0.0,0.0,0.4954303414068895,0.0,0.6255273059986877,0.4364100601298339,0.738190433663373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Unclassified ; Unclassified ; Unclassified,0.04513891764260134,0.0,0.1347659395342531,0.011560041299487686,0.7675336188977941,0.04913537979452073,0.03744679870787601,0.01765021621163066,0.0,0.0,0.0,0.0,0.0,0.047715907304033266,0.08837475519764847,0.17364760654077416,0.009304130970549232,0.06639480732621274,0.09850724283263462,0.36785975026685763,0.03402548444291065,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Adlercreutzia ; Adlercreutzia equolifaciens,0.006155306951262008,0.07312134351475803,0.006125724524287805,0.0,0.05500240917186103,0.03126796896019212,0.004992906494390146,0.00882510810581533,0.06759351185918828,0.10322716126368961,0.14467650188751194,0.07401190065675442,0.02401110276470938,0.005022727084616719,0.0023256514525668882,0.0,0.0,0.04426320488420001,0.028144926523643574,0.1030815783716219,0.04449486427141022,0.01808222293598422,0.16815989180435822,0.037085034850558266,0.005705373070223434
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Eggerthella ; Eggerthella lenta,0.0,0.0,0.01276192609225807,0.0,0.0,0.0,0.0,0.012257094591410183,0.005777223235818693,0.0509763759327634,0.0,0.016089543620985334,0.0,0.23857953652016636,0.19380428771390737,0.04569673856328695,0.48691618745916776,0.0,0.0,0.0,0.004362241595240048,0.004109596121808774,0.02724813061651797,0.0,0.01901791023407811
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Enterorhabdus ; Enterorhabdus mucosicola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027120974508225117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01650440209563042,0.05627841091184547,0.01718490956925223,0.011456572430167535
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Gordonibacter ; Gordonibacter pamelaeae,0.0,0.0,0.020419081747658774,0.0,0.0,0.0,0.00624113311799603,0.0,0.0,0.0,0.0,0.0,0.0,0.06906249741352834,0.07945975796271817,0.04569673856328695,0.15196747251891013,0.0,0.0,0.005053018547628524,0.021811207976200245,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Slackia ; Slackia isoflavoniconvertens,0.0,0.0,0.07657155655359756,0.0,0.35001533109288524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583892023587808,0.9680524171300697,0.05997696936428457,0.12327973535970702,0.5660582932303159,0.2462681070818813,0.01768556491669204,0.08179202991075091,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Slackia ; Slackia sp,0.0,0.047085713627082124,0.0,0.0,0.0,0.0,0.0,0.0,0.02166458713433106,0.6595068636280169,0.04324569349908336,0.12469396306283444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Unclassified ; Unclassified ; Unclassified ; Unclassified ; Unclassified,0.011526792043552482,0.4730355896433242,0.0,0.006494405224425888,0.024579728307151227,0.0,0.02454378192468473,0.0,0.153356066231858,0.3597700689065727,0.552166668782056,0.08135162505019297,0.09273951208279607,0.0,0.0,0.0,0.0,0.0,0.0,0.03406529357951814,0.0,0.009235047464756806,0.026242180368995546,0.0480791290196505,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Anaerorhabdus ; Anaerorhabdus furcosa,0.0035745104246556482,0.0,0.0,0.0,0.003266693607767365,0.0,0.00543652710626541,0.002562458799597948,0.0,0.0,0.0027396701614862615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides caccae,0.12002848554915085,0.30245646635640633,0.05819438298070466,0.19420869383150072,0.17000744653096544,0.03126796896019212,0.17849640717416224,0.001470851350969222,0.2937718015416545,0.4492293129067742,0.5566900181325805,0.16572229929679871,0.03451596022421682,0.08915340575205336,0.038373248967358504,0.14394472647428297,0.12746659429670149,0.0902288407255585,0.15479709588015755,0.38402940961914417,0.0942244184571659,0.02054798060905988,0.05371774321533682,0.028526949884958706,0.01996880574573291
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides caecicola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09498062802495796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0632912482895377,0.07390993838106288,0.15647694029728476,0.09629321637497544
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides clarus,0.04112195220603313,0.0,0.02746237260356429,0.05731244104181249,0.0,0.0,0.06451804278093289,0.0,0.0,0.0,0.0016588298235159428,0.0,0.0,0.03576308841901971,0.014719312990873382,0.0686897177772299,0.030424900853046135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides coprocola,0.10496919378910945,0.0,1.4118890385655463,0.2707098278990385,0.0026372463162599694,0.02591528470175144,0.4661099417239443,0.16291075089843615,0.0018282352012130708,0.0,0.0,0.0,0.12030879549872667,1.488804125298274,0.3544901211977522,1.9040307734755273,1.110999605344155,0.0,0.0,0.0,0.0,0.11531145236296515,0.06159161531744864,0.10080725961461755,0.054164934210981966
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides eggerthii,0.0,0.0013848739302076158,0.06700011198430572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042379259776538364,0.02761711099918935,0.17279079269270955,0.08955226059153015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
