	1-MS515F	10-MS515F	12-MS515F	13-MS515F	14-MS515F	15-MS515F	16-MS515F	17-MS515F	18-MS515F	19-MS515F	2-MS515F	21-MS515F	22-MS515F	23-MS515F	24-MS515F	25-MS515F	27-MS515F	28-MS515F	29-MS515F	3-MS515F	30-MS515F	32-MS515F	33-MS515F	34-MS515F	35-MS515F	36-MS515F	37-MS515F	38-MS515F	39-MS515F	4-MS515F	5-MS515F	9-MS515F
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Blautia ; Ruminococcus gnavus	0	0	0	0.0662690523526	0.00239314602977	0	0	0.00295386069593	0.0590174610281	0.0872825375414	0	0.0760486711495	0.0720461095101	0	0	0	0.0243463017968	0.0105351875263	0	0.00872889788935	0.0237524989608	0.621138923023	0.346118243651	0.161168824343	0.00531943188467	0.0846910792063	0.0138749176177	0.0105814507169	0.00831739166597	0.0114419748849	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Butyrivibrio ; Butyrivibrio crossotus	0	0	0	0	0.0143588761786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Coprococcus ; Coprococcus sp	0.276954155941	0.218455269183	0.146769347653	0.879039488559	2.18015603312	0.635112952396	0.0605076271456	1.29379098482	0.374455614799	0.995814405586	2.30537280702	1.54498879283	1.3388568684	0.0178949080852	0.0800108694011	0.675288271644	0.0292155621561	0.0505689001264	0.0298192494724	0.867652450202	0.0475049979217	1.5520056559	0.977985269851	0.648178967468	4.20767062078	3.63768349734	1.1793679975	0.4073858526	1.40148049572	0.0371864183758	0.00330611300294	1.13971615788
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Dorea ; Dorea sp	0.674464826822	0.205852080576	0.108781987084	3.2140490391	1.18460728474	1.91315563199	0.0748383809433	1.32923731317	0.0997191582889	0.438396381742	0.559210526316	0.844540505924	0.642411143132	0.107369448511	0.0588759227669	0.99382047525	0.370063787311	0.446691951117	0.0114689421048	1.03175573052	0.431503731122	0.180113454643	0.118726606834	0.702485853932	1.74477365817	0.108888530408	0.728433174928	0.10316914449	1.00640439158	0.168769129552	0	0.220490046893
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Fusicatenibacter ; Fusicatenibacter saccharivorans	0.0879736730638	0.243661646397	0.34361294333	1.20843566055	0.160340783995	0.175877432971	0.0318461195503	2.09428723341	2.44006675078	4.39189859356	1.12938596491	14.4912744156	7.33269292347	0.0357898161705	0.0664241179934	0.556369582298	0.136339290062	0.143278550358	0.00229378842096	6.43494352403	0.0158349993072	0.42250913192	0.444721696784	0.218979380901	6.59077610511	0.383126310695	1.67192757293	1.24067509656	1.15195874574	2.23404559627	0.247958475221	0.332287817149
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Lachnobacterium ; Lachnobacterium sp	0	0	0	0	0.00957258411908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Lachnoclostridium ; Clostridium aldenense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122628453305	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Lachnoclostridium ; Clostridium clostridioforme	0	0	0	0	0	0	0	0.00295386069593	0	0	0	0.00200128081972	0	0	0.0256638637702	0.0169883841923	0	0.0063211125158	0.0619322873658	0	0.0316699986144	0	0	0.0981027626439	0	0.00403290853363	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Lachnoclostridium ; Clostridium oroticum	0	0	0	0	0.0143588761786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0100998198865	0.0100615768503	0	0	0.0645265365382	0	0	0.00831739166597	0	0	0.0186329617093
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Lachnoclostridium ; Clostridium saccharolyticum	0.0195497051253	0	0	0.0194908977508	0	0	0	0	0.00610525458912	0.00396738807006	0.00274122807018	0	0.00200128081972	0	0	0.00212354802404	0.0097385207187	0.00842815002107	0	0	0	0	0.00201231537006	0	0.00797914782701	0.00806581706727	0.0173436470221	0.0290989894715	0.00415869583299	0	0	0.00310549361821
