	1-MS515F	2-MS515F	3-MS515F	38-MS515F	4-MS515F	40-MS515F	41-MS515F	42-MS515F	44-MS515F	46-MS515F	47-MS515F	48-MS515F	5-MS515F	50-MS515F	52-MS515F	53-MS515F	54-MS515F	56-MS515F	58-MS515F	59-MS515F	60-MS515F	62-MS515F	64-MS515F	65-MS515F	66-MS515F
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Coriobacteriaceae ; Collinsella ; Collinsella aerofaciens	0.921606787969	0.767953755569	0.207271650537	9.10469314079	0.847658721789	4.09448217965	1.74581614724	5.75921532319	5.55989441737	1.71272154512	1.19010551808	8.29371457576	0.138961757157	2.92566630819	0.652974341273	0.0966300277811	3.778742744	2.57460503218	0.155177558938	0.334856389816	1.31452958717	0.223332705834	1.25059363622	0.120532585844	0.0609880056922
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Coriobacteriaceae ; Collinsella ; Collinsella sp	0	0	0.0264933688656	0	0	0	0	0	0	0	0	0	0	0.34206195986	0.0354773136962	0.0483150138906	0.107996220132	0	0	0	0	0	0	0	0
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Coriobacteriaceae ; Senegalimassilia ; Senegalimassilia anaerobia	0.19667809665	0	0	0.274368231047	0	0.284286041365	0.231778589141	0.386262369076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Unclassified ; Unclassified ; Unclassified	0.0226540216037	0	0.0685710723581	0.00601684717208	0.404714195317	0.0209875601007	0.0186918217049	0.00868005323766	0	0	0	0	0	0.024618095596	0.0364361600123	0.0917985263921	0.00562480313189	0.0380339379754	0.0417785735601	0.196593106279	0.0177823981616	0	0	0	0
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Adlercreutzia ; Adlercreutzia equolifaciens	0.00308918476414	0.0394128677041	0.00311686692537	0	0.0290023201856	0.0133557200641	0.00249224289399	0.00434002661883	0.038555455597	0.0412888229627	0.079571008476	0.0389137974791	0.0113438169108	0.00259137848378	0.000958846316112	0	0	0.0253559586503	0.0119367353029	0.0550892770343	0.0232539052882	0.00941248951791	0.0712363463669	0.0182200420463	0.00290419074725
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Eggerthella ; Eggerthella lenta	0	0	0.00779216731342	0	0	0	0	0.00723337769805	0.00395440570225	0.0244674506446	0	0.0101514254293	0	0.147708573576	0.0958846316112	0.0289890083343	0.353237636683	0	0	0	0.00273575356332	0.00256704259579	0.0138515117936	0	0.011616762989
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Enterorhabdus ; Enterorhabdus mucosicola	0	0	0	0	0	0	0	0	0	0	0	0	0.0127617940246	0	0	0	0	0	0	0	0	0.00855680865264	0.023745448789	0.00840925017519	0.0058083814945
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Gordonibacter ; Gordonibacter pamelaeae	0	0	0.0124674677015	0	0	0	0.00373836434099	0	0	0	0	0	0	0.0427577449824	0.0393126989606	0.0289890083343	0.110246141385	0	0	0.0032405457079	0.0136787678166	0	0	0	0
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Slackia ; Slackia isoflavoniconvertens	0	0	0.0311686692537	0	0.14764817549	0	0	0	0	0	0	0	0	0.240998198992	0.319295823265	0.0253653822925	0.059622913198	0.259410961576	0.0835571471203	0.00756127331843	0.0341969195415	0	0	0	0
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Slackia ; Slackia sp	0	0.0203035985143	0	0	0	0	0	0	0.00988601425563	0.211031761809	0.019027849853	0.0524490313848	0	0	0	0	0	0	0	0	0	0	0	0	0
