#NAME,A.0h,A.CN.24h,A.BC.24h,A.FC.24h,B.0h,B.CN.24h,B.BC.24h,B.FC.24h,C.0h,C.CN.24h,C.BC.24h,C.FC.24h,D.0h,D.CN.24h,D.BC.24h,D.FC.24h,E.0h,E.CN.24h,E.BC.24h,E.FC.24h
#CLASS,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,E,E,E,E
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella,0.036072911575330005,25.674227449794806,11.285018808950424,15.007045614833737,0.2652528260846063,25.17148019483287,4.381801506137901,22.334916150424704,0.025295946865047388,12.804994261296919,4.759209678873927,0.19566836342104849,0.3076700153576254,31.4767908457765,21.327939291207556,24.26949266384867,0.00929419346536556,8.842819013782888,4.948712355132107,0.030339282749108163
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,6.510356419235109,1.3717110864424356,0.7359221165626988,7.424581429805523,3.2100653934997845,1.7693041856414309,1.215269895197004,3.8594317446272433,0.0,0.0,0.0,0.0,10.356290256580225,2.4438754939425102,2.751127444244889,7.153397287550221,6.546833598402283,2.0745316810476826,1.0546158774242254,8.403161340889259
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus,0.0,0.3988932151526945,0.0656378435223486,1.3557257094820956,0.06060995360490721,0.8779393723218315,0.035737094709881505,4.452825387527814,0.11278923742164236,0.34155062591987206,0.06465865577580263,1.497595118299764,0.0,0.0,0.0,0.0,0.3244728692232098,0.9033368796449823,0.4903906250319913,7.7417754906205465
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella,5.286360615244002,4.556504019002793,6.439318519923616,16.050855040488052,4.7524015005328755,7.089560725256265,10.768748061856108,5.781479871752867,3.336330289229025,13.990419638605294,11.71020012484725,26.88115022262686,8.33430360415096,2.383704317008324,4.778034253332607,4.6497082369076415,6.769298817765467,4.911895639431297,5.01727894025659,9.979062850438744
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,0.005052692551309561,0.15054656728175764,0.10668124712111847,0.09158710658365642,0.0,0.17382906967920939,0.03334425026724065,0.22548320830834037,0.0,0.09014132750489706,0.11233734288994407,5.117918147209766,0.043317135567350645,0.3824513856541859,0.15280831058617478,0.7183745476819589,0.0,0.0,0.0,0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_sensu_stricto_1,0.0,0.0,0.0,0.1975841860289948,0.0,0.009024250792407816,0.021019897455593996,4.527471068163499,0.0,0.36803735832289625,0.30214993025691844,3.1177922039169115,0.0,0.0,0.0,0.019700535512904467,0.0,0.005100729867062353,0.004921228771501103,0.01444622025277391
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;Dorea_formicigenerans,0.4197776971627988,5.641302475834611,11.9513138461352,3.386761684343236,0.5985016454365006,4.916670025548221,8.949025156010158,7.532409485432937,0.11572895690763182,14.197022347221981,14.252755800851526,3.371686488328948,0.36890797855182805,4.821724692579931,7.2855229442784015,2.2379599397588237,0.36536507200514146,11.332943305579912,10.839476619980486,6.004481159190974
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0.0,0.0,0.20105889049550338,0.14750430821221738,0.7693427097652991,4.671338057162463,3.837905116655077,3.6450907662706697,0.0,0.0,0.0,0.0,0.13388711269031772,8.948690243642206,4.543892067250825,6.749987606113855,0.13077230861816697,1.3789977437082843,0.8228730564195359,0.09023554137850545
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus,0.05686047169716198,0.07395211292156607,0.0,0.2012766838309553,0.0,0.4411006069675189,0.0,1.821369718560726,0.0,0.09563417525756114,0.0,0.4681557848802627,0.0,0.0,0.0,0.0,0.0,0.21680085111479638,0.08831679502945428,3.1417383683020628
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter sp,1.7378306505176866,0.2107416037164362,0.13440332622415355,0.46776347737856877,1.7582782917249389,0.2479854219125055,0.116691813418933,0.17115752969924944,1.370975577260432,0.05085586833470949,0.09435280614626687,0.5296075010552481,11.41515540950465,0.9946648400277317,1.4696250548893453,5.240686231746222,7.5620412557984205,1.3563683067398713,2.4943312505147164,1.6480707596787731
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia,1.1202278721939818,0.18863289365382016,0.19307920258181258,6.767212352636856,3.2822690660936256,0.29894881715953703,0.40155138165989945,1.903413182759634,3.5967157031656747,0.3913176571220832,0.9253484677532237,5.217163761868125,10.936374352084632,0.5324517992484178,0.8438723188250068,6.662708085317547,0.9648386729063885,0.1661570482574075,0.10053324739453723,0.47258182971465457
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0.09141749223634628,4.657233831244439,4.101601366108307,0.5617717270209924,0.11452047969788755,0.8990013216445083,0.4255361462677184,0.22624701307886055,0.3906462680426325,1.655622223938577,1.0313728241939553,0.6111715254793686,0.0,0.6568442693371018,0.18239566748822864,0.0,0.6411032690793059,4.346130329696742,2.7744378913762304,0.24988303766357225
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus,6.950029131251816,0.9870478150566303,0.2722911831281975,0.3756181516676386,18.25430018581331,1.4078620858107191,2.0074667700179765,1.114966827787246,0.0,0.0,0.0,0.0,5.808365830136065,0.886252007959545,0.7621738958015012,0.09381484559134476,0.0,0.0,0.0,0.0
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera;Megasphaera_elsdenii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015866549164259332,2.6241101184657696,1.1829837126047977,7.806035147702607
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium,1.171315187244584,0.5427562194715252,0.23144750565896285,0.48594823582083874,0.8745547299595369,0.17584003342647614,0.09149027144755977,0.1276679573802191,5.0792153309460675,3.1990883975950486,1.3762929323202855,2.3089309072076682,2.2057085430896444,0.4238596559806492,0.5814261891686401,1.3949859648800427,1.1515299165955406,0.45176881058689317,0.5205539093694643,0.6251240658883713
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium,3.4507532202253715,0.7132681291285121,0.7805680583008349,1.1925566399480927,3.4054279670573053,0.6280001193802849,0.3829825316409484,1.041203119078681,1.401606255881323,0.9175112414155143,0.2962852840411674,0.2913137125916146,4.55588454631148,1.9959936527089004,3.235763139721148,6.085728244447439,2.5121998399250582,2.111696497486184,1.2528163464729252,0.38658988285202206
